target,rmse_point_gb,rmse_point_ridge,rmse_ensemble,cov_bootstrap_80,cov_bootstrap_95,cov_conformal_80,cov_conformal_95,width_conformal_80,width_conformal_95,target_std
T,0.9202950971665589,0.9222886638018466,0.9228161160218814,0.08142857142857143,0.13,0.7957142857142857,0.9514285714285714,2.454242752311521,4.281832051306265,1.049929797346465
a,0.346150367512685,0.335061799365733,0.33507988645930215,0.08,0.12142857142857143,0.7628571428571429,0.9457142857142857,0.7598674305208541,1.3543438994895758,0.3369102075457323
